,count,mean,std,min,25%,50%,75%,max
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]",81.0,73.45679012345678,15.665287567354174,20.0,70.0,80.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]",81.0,72.71604938271605,14.492441623050645,30.0,70.0,70.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]",81.0,66.66666666666667,18.371173070873834,10.0,60.0,70.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]",81.0,72.46913580246914,18.54257696475404,10.0,60.0,80.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]",81.0,62.592592592592595,19.923464669691477,10.0,50.0,60.0,70.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]",81.0,80.24691358024691,14.051272953186066,40.0,70.0,80.0,90.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]",81.0,73.95061728395062,15.864978123659595,30.0,70.0,70.0,90.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]",81.0,73.45679012345678,19.82173641656808,10.0,60.0,70.0,90.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",81.0,57.407407407407405,27.783888216814514,0.0,40.0,60.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]",81.0,71.48148148148148,15.581327856693656,10.0,60.0,70.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",81.0,44.074074074074076,21.78174567027272,0.0,30.0,40.0,60.0,90.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]",81.0,75.18518518518519,15.09230856356236,40.0,70.0,80.0,90.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]",81.0,68.39506172839506,16.767288847891958,20.0,60.0,70.0,80.0,100.0
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",81.0,31.728395061728396,19.02564870489244,0.0,20.0,30.0,40.0,80.0
