Paradigm,Group,Behavior,Raw_Count,Normalized_Pct
A,Head_Behavior,Tracking,158,70.54
A,Head_Behavior,Away,35,15.62
A,Head_Behavior,Neutral,31,13.84
A,Torso_Behavior,Neutral,127,63.18
A,Torso_Behavior,Tracking,71,35.32
A,Torso_Behavior,Away,3,1.49
A,Arms_Hands_Behavior,Neutral/Side,72,26.67
A,Arms_Hands_Behavior,Crossed,62,22.96
A,Arms_Hands_Behavior,Self-touch,60,22.22
A,Arms_Hands_Behavior,Back,60,22.22
A,Arms_Hands_Behavior,Fidgeting,16,5.93
A,Facial_Affect_Behavior,Smile,130,42.48
A,Facial_Affect_Behavior,Neutral,112,36.6
A,Facial_Affect_Behavior,Raised brows,34,11.11
A,Facial_Affect_Behavior,Frown,30,9.8
A,Proxemics_Behavior,Comfortable,159,90.34
A,Proxemics_Behavior,Withdrawal signal,16,9.09
A,Proxemics_Behavior,Invasion,1,0.57
B,Head_Behavior,Tracking,152,65.24
B,Head_Behavior,Away,44,18.88
B,Head_Behavior,Neutral,37,15.88
B,Torso_Behavior,Neutral,124,61.08
B,Torso_Behavior,Tracking,77,37.93
B,Torso_Behavior,Away,2,0.99
B,Arms_Hands_Behavior,Neutral/Side,70,27.24
B,Arms_Hands_Behavior,Self-touch,64,24.9
B,Arms_Hands_Behavior,Crossed,63,24.51
B,Arms_Hands_Behavior,Back,49,19.07
B,Arms_Hands_Behavior,Fidgeting,11,4.28
B,Facial_Affect_Behavior,Smile,127,42.76
B,Facial_Affect_Behavior,Neutral,107,36.03
B,Facial_Affect_Behavior,Raised brows,34,11.45
B,Facial_Affect_Behavior,Frown,29,9.76
B,Proxemics_Behavior,Comfortable,159,95.78
B,Proxemics_Behavior,Withdrawal signal,7,4.22
F,Head_Behavior,Tracking,156,66.95
F,Head_Behavior,Away,39,16.74
F,Head_Behavior,Neutral,38,16.31
F,Torso_Behavior,Neutral,125,62.5
F,Torso_Behavior,Tracking,74,37.0
F,Torso_Behavior,Away,1,0.5
F,Arms_Hands_Behavior,Neutral/Side,72,28.57
F,Arms_Hands_Behavior,Self-touch,64,25.4
F,Arms_Hands_Behavior,Crossed,60,23.81
F,Arms_Hands_Behavior,Back,48,19.05
F,Arms_Hands_Behavior,Fidgeting,8,3.17
F,Facial_Affect_Behavior,Smile,127,42.05
F,Facial_Affect_Behavior,Neutral,113,37.42
F,Facial_Affect_Behavior,Raised brows,36,11.92
F,Facial_Affect_Behavior,Frown,26,8.61
F,Proxemics_Behavior,Comfortable,161,93.6
F,Proxemics_Behavior,Withdrawal signal,10,5.81
F,Proxemics_Behavior,Invasion,1,0.58
