Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,Neutral,Neutral/Side,Self-touch,Frown,"Smile, Neutral",Withdrawal signal,,A,,German
Tracking,,Neutral,Tracking,Crossed,,Neutral,,Comfortable,,A,,German
Tracking,Away,Tracking,Neutral,Self-touch,"Crossed, Neutral/Side",Neutral,Smile,Comfortable,Withdrawal signal,A,,German
Away,Neutral,Neutral,Away,Crossed,Self-touch,Frown,Neutral,Withdrawal signal,,A,,German
Tracking,Away,Neutral,Away,Crossed,,Neutral,Smile,Comfortable,,A,,German
Tracking,Neutral,Neutral,,Back,,Neutral,Smile,Comfortable,Withdrawal signal,A,,German
Tracking,,Neutral,Tracking,Crossed,"Self-touch, Fidgeting",Smile,Neutral,Comfortable,,A,,German
Tracking,,Tracking,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,Neutral,Comfortable,,A,,German
Tracking,Away,Neutral,,Neutral/Side,Crossed,Neutral,Raised brows,Comfortable,,A,,German
Tracking,Away,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,A,,German
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,A,,German
Tracking,,Neutral,,Crossed,Self-touch,Smile,,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Smile,"Smile, Frown",Comfortable,,A,,German
Tracking,Neutral,Neutral,,Neutral/Side,Back,Frown,Smile,Comfortable,,A,,German
Tracking,,Tracking,,Neutral/Side,Neutral/Side,Smile,,Comfortable,,A,,German
Tracking,,Neutral,,Crossed,,Smile,Raised brows,Comfortable,,A,,German
Tracking,,Tracking,,Self-touch,Fidgeting,Neutral,"Smile, Frown",Comfortable,Withdrawal signal,A,,German
Neutral,Tracking,Neutral,,Neutral/Side,Back,Neutral,Frown,Comfortable,,A,,German
Tracking,,Tracking,,Self-touch,,Neutral,Smile,Comfortable,,A,,German
Neutral,Tracking,Neutral,Tracking,Crossed,Self-touch,Smile,"Neutral, Raised brows",Comfortable,,A,,German
Tracking,,Tracking,,Self-touch,,Smile,Neutral,Comfortable,,A,,German
Tracking,Neutral,Neutral,Tracking,Neutral/Side,,Neutral,Smile,Comfortable,,A,,German
Neutral,,Tracking,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,A,,German
Tracking,,Tracking,,Neutral/Side,,Smile,Frown,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,A,,German
Tracking,,Tracking,,Back,,Smile,Raised brows,Comfortable,,A,,German
Tracking,,Neutral,,Back,Neutral/Side,Smile,Raised brows,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,Raised brows,Comfortable,,A,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,A,,German
Tracking,,Neutral,Tracking,Crossed,Self-touch,Smile,Neutral,Comfortable,Withdrawal signal,A,,German
