Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,Away,Tracking,,Self-touch,Crossed,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,Away,Tracking,Neutral,Crossed,Self-touch,Frown,Neutral,Withdrawal signal,,F,,German
Tracking,,Tracking,Neutral,Neutral/Side,,Frown,,Comfortable,,F,,Italian
Tracking,,Tracking,,Crossed,,Neutral,,Comfortable,,F,,German
Tracking,,Neutral,Tracking,Back,Self-touch,Neutral,,Comfortable,,F,,Italian
Away,Tracking,Neutral,Tracking,Self-touch,Neutral/Side,Neutral,,Comfortable,,F,,German
Away,Neutral,Neutral,,Crossed,,Neutral,Frown,Withdrawal signal,Comfortable,F,,German
Tracking,,Neutral,,Fidgeting,"Crossed, Self-touch",Smile,Neutral,Comfortable,,F,,Italian
Neutral,"Away, Tracking",Neutral,Tracking,Crossed,,Smile,Neutral,Comfortable,,F,,German
Tracking,Neutral,Neutral,Tracking,Neutral/Side,,Neutral,,Comfortable,,F,,German
Away,Neutral,Neutral,,Back,Neutral/Side,Neutral,"Smile, Frown",Comfortable,,F,,Italian
Away,Tracking,Neutral,,Neutral/Side,"Crossed, Self-touch",Neutral,Smile,Comfortable,,F,,Italian
Tracking,"Away, Neutral",Tracking,"Tracking, Neutral",Crossed,Self-touch,Neutral,Smile,Comfortable,,F,,German
Neutral,Tracking,Neutral,,Crossed,"Self-touch, Fidgeting",Neutral,Smile,Comfortable,,F,,German
Tracking,"Away, Neutral",Tracking,Neutral,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,Tracking,Crossed,Fidgeting,Frown,"Neutral, Frown, Raised brows",Comfortable,,F,,Italian
Neutral,Tracking,Neutral,,Crossed,Self-touch,Neutral,"Smile, Raised brows",Comfortable,Withdrawal signal,F,,Italian
Tracking,Away,Neutral,,Crossed,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,Neutral,Tracking,Neutral,Back,,Neutral,Smile,Comfortable,,F,,German
Neutral,Tracking,Neutral,"Away, Tracking",Back,,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,"Crossed, Self-touch",Neutral,Smile,Comfortable,Withdrawal signal,F,,Italian
Neutral,Tracking,Neutral,,Back,"Crossed, Self-touch",Neutral,Smile,Comfortable,,F,,Italian
Tracking,Away,Neutral,Tracking,Neutral/Side,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,Tracking,Crossed,,Neutral,Smile,Comfortable,Withdrawal signal,F,,Italian
Tracking,,Neutral,Tracking,Crossed,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,Self-touch,Smile,Neutral,Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Tracking,,Back,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,Away,Neutral,,Back,"Self-touch, Fidgeting",Neutral,Smile,Comfortable,,F,,German
Away,Tracking,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Frown",Comfortable,,F,,German
Tracking,,Neutral,,Self-touch,Fidgeting,Smile,,Comfortable,,F,,Italian
Away,Tracking,Neutral,,Neutral/Side,Self-touch,Smile,Neutral,Comfortable,,F,,German
Tracking,Away,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,German
Tracking,Away,Neutral,,Back,"Self-touch, Neutral/Side",Smile,Frown,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Neutral,,Self-touch,Crossed,Smile,"Frown, Raised brows",Comfortable,,F,,German
Away,Away,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,"Self-touch, Fidgeting, Neutral/Side",Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,Self-touch,Smile,"Frown, Raised brows",Comfortable,,F,,Italian
Tracking,,Tracking,,Back,,Smile,,Comfortable,,F,,German
Neutral,Away,Neutral,,Back,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Neutral,,Back,"Crossed, Self-touch",Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,Crossed,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Smile,"Frown, Raised brows",Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Smile,Raised brows,Comfortable,,F,,German
Neutral,Tracking,Neutral,,Neutral/Side,,Frown,"Smile, Raised brows",Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Neutral,,Self-touch,,Smile,"Frown, Raised brows",Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Smile,Raised brows,Comfortable,,F,,German
Tracking,Neutral,Tracking,Neutral,Self-touch,Crossed,Neutral,,Comfortable,,F,,German
Away,"Tracking, Neutral",Neutral,,Self-touch,,Frown,Frown,Comfortable,,F,,German
