Paradigm,Head orientation,Torso orientation,Arms/Hands,Facial affect,Proxemics,Sentiment_Score
A,Tracking,Tracking,"Self-touch, Crossed, Neutral/Side","Smile, Neutral",Withdrawal signal,0
B,Tracking,Tracking,"Crossed, Self-touch","Smile, Neutral",Comfortable,0
F,"Tracking, Away",Tracking,"Self-touch, Crossed","Smile, Raised brows",Comfortable,0
A,Tracking,"Tracking, Neutral","Neutral/Side, Self-touch","Frown, Smile, Neutral",Withdrawal signal,0
B,"Tracking, Away","Tracking, Neutral","Back, Self-touch","Frown, Neutral",Withdrawal signal,0
F,"Tracking, Away","Tracking, Neutral","Crossed, Self-touch","Frown, Neutral",Withdrawal signal,0
A,"Away, Tracking","Neutral, Tracking","Fidgeting, Self-touch","Neutral, Smile",Comfortable,0
B,"Neutral, Tracking","Neutral, Tracking","Back, Fidgeting","Smile, Neutral",Comfortable,0
F,Tracking,"Tracking, Neutral",Neutral/Side,Frown,Comfortable,0
A,Tracking,"Neutral, Tracking",Crossed,Neutral,Comfortable,0
B,"Tracking, Neutral",Neutral,Crossed,"Neutral, Frown",Comfortable,0
F,Tracking,Tracking,Crossed,Neutral,Comfortable,0
A,"Tracking, Away","Tracking, Neutral","Back, Crossed, Self-touch","Neutral, Smile",Comfortable,0
B,"Away, Neutral",Neutral,"Back, Crossed","Neutral, Smile",Comfortable,0
F,Tracking,"Neutral, Tracking","Back, Self-touch",Neutral,Comfortable,0
A,"Tracking, Away","Tracking, Neutral","Self-touch, Crossed, Neutral/Side","Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Away, Neutral",Neutral,"Fidgeting, Self-touch, Back, Neutral/Side","Neutral, Smile",Comfortable,0
F,"Away, Tracking","Neutral, Tracking","Self-touch, Neutral/Side",Neutral,Comfortable,0
A,"Away, Neutral","Neutral, Away","Crossed, Self-touch","Frown, Neutral",Withdrawal signal,0
B,"Away, Neutral",Neutral,Crossed,"Frown, Neutral",Withdrawal signal,0
F,"Away, Neutral",Neutral,Crossed,"Neutral, Frown","Withdrawal signal, Comfortable",0
A,"Tracking, Neutral",Neutral,"Crossed, Self-touch, Neutral/Side","Neutral, Smile, Frown","Comfortable, Invasion",0
B,"Tracking, Neutral","Neutral, Tracking","Fidgeting, Crossed, Self-touch","Smile, Neutral, Raised brows",Comfortable,0
F,Tracking,Neutral,"Fidgeting, Crossed, Self-touch","Smile, Neutral",Comfortable,0
A,"Tracking, Away","Neutral, Away",Crossed,"Neutral, Smile",Comfortable,0
B,"Tracking, Away, Neutral",Tracking,Crossed,"Neutral, Frown",Comfortable,0
F,"Neutral, Away, Tracking","Neutral, Tracking",Crossed,"Smile, Neutral",Comfortable,0
A,"Tracking, Neutral",Neutral,Back,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Tracking, Neutral","Neutral, Tracking","Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
F,"Tracking, Neutral","Neutral, Tracking",Neutral/Side,Neutral,Comfortable,0
A,"Tracking, Away, Neutral",Neutral,Back,"Neutral, Smile",Comfortable,0
B,Tracking,"Neutral, Tracking",Back,"Neutral, Smile",Comfortable,0
F,"Away, Neutral",Neutral,"Back, Neutral/Side","Neutral, Smile, Frown",Comfortable,0
A,"Neutral, Tracking","Neutral, Tracking","Neutral/Side, Back","Neutral, Smile, Frown",Comfortable,0
B,"Away, Neutral","Neutral, Tracking","Crossed, Fidgeting","Neutral, Smile",Comfortable,0
F,"Away, Tracking",Neutral,"Neutral/Side, Crossed, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,"Neutral, Tracking","Crossed, Self-touch, Fidgeting","Smile, Neutral",Comfortable,0
F,"Tracking, Away, Neutral","Tracking, Neutral","Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,"Neutral, Tracking",Neutral,"Crossed, Self-touch, Fidgeting","Neutral, Smile",Comfortable,0
A,"Away, Tracking, Neutral",Neutral,"Back, Crossed, Self-touch","Neutral, Smile, Frown",Comfortable,0
B,"Tracking, Away","Neutral, Tracking","Crossed, Self-touch","Neutral, Frown",Comfortable,0
F,"Tracking, Away, Neutral","Tracking, Neutral","Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,"Tracking, Away","Neutral, Tracking","Crossed, Self-touch","Neutral, Frown","Comfortable, Withdrawal signal",0
B,"Tracking, Neutral","Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
F,Tracking,"Neutral, Tracking","Crossed, Fidgeting","Frown, Neutral, Raised brows",Comfortable,0
A,"Neutral, Away, Tracking","Tracking, Neutral","Self-touch, Crossed, Fidgeting, Neutral/Side",Smile,Comfortable,0
B,"Tracking, Away","Neutral, Tracking","Back, Self-touch, Neutral/Side","Smile, Neutral",Comfortable,0
F,"Neutral, Tracking",Neutral,"Crossed, Self-touch","Neutral, Smile, Raised brows","Comfortable, Withdrawal signal",0
A,Tracking,Neutral,"Back, Crossed","Neutral, Smile",Comfortable,0
B,Tracking,Tracking,Crossed,Smile,Comfortable,0
F,"Tracking, Away",Neutral,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
,"Tracking, Neutral",Tracking,"Neutral/Side, Self-touch","Smile, Neutral",Comfortable,0
B,Tracking,Tracking,"Neutral/Side, Self-touch, Back",Smile,Comfortable,0
F,"Tracking, Neutral","Tracking, Neutral",Back,"Neutral, Smile",Comfortable,0
B,"Neutral, Away, Tracking",Neutral,"Back, Crossed",Neutral,Comfortable,0
A,Tracking,"Neutral, Tracking",Back,"Smile, Neutral",Comfortable,0
F,"Neutral, Tracking","Neutral, Away, Tracking",Back,"Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Tracking,Crossed,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Tracking, Away",Tracking,Neutral/Side,Neutral,Comfortable,0
A,Tracking,Tracking,Back,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,"Neutral/Side, Crossed, Self-touch","Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Tracking, Away, Neutral","Neutral, Tracking","Neutral/Side, Self-touch","Smile, Neutral",Comfortable,0
A,"Away, Neutral","Tracking, Neutral","Crossed, Self-touch","Neutral, Smile",Comfortable,0
A,"Tracking, Neutral","Tracking, Neutral","Crossed, Self-touch, Back","Neutral, Smile, Frown",Comfortable,0
B,"Neutral, Away, Tracking","Neutral, Tracking","Back, Crossed, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
F,"Neutral, Tracking",Neutral,"Back, Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,"Tracking, Away","Neutral, Tracking",Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Tracking, Away",Neutral,Crossed,"Frown, Smile",Comfortable,0
F,Tracking,"Neutral, Tracking",Crossed,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,Tracking,"Neutral, Tracking","Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,"Tracking, Neutral","Self-touch, Crossed, Back, Neutral/Side",Smile,"Comfortable, Withdrawal signal",0
F,Tracking,"Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
B,"Neutral, Tracking",Neutral,"Self-touch, Neutral/Side","Neutral, Smile",Comfortable,0
A,Tracking,"Neutral, Tracking","Neutral/Side, Self-touch","Neutral, Smile","Comfortable, Withdrawal signal",0
A,Tracking,Neutral,"Crossed, Neutral/Side",Smile,Comfortable,0
B,Tracking,Tracking,"Self-touch, Crossed, Fidgeting",Smile,Comfortable,0
F,Tracking,Neutral,"Crossed, Self-touch","Smile, Neutral",Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Tracking,"Back, Self-touch, Neutral/Side","Smile, Neutral, Raised brows",Comfortable,0
F,Tracking,Tracking,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,"Self-touch, Fidgeting, Neutral/Side",Smile,Comfortable,0
B,Tracking,Tracking,"Self-touch, Back",Smile,Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Self-touch",Neutral,Comfortable,0
B,Tracking,Neutral,Neutral/Side,Neutral,Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,Tracking,"Back, Crossed, Self-touch",Neutral,Comfortable,0
B,Tracking,Tracking,"Back, Crossed","Neutral, Smile",Comfortable,0
F,Tracking,Tracking,"Back, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Neutral",Comfortable,0
B,"Tracking, Away",Neutral,"Back, Self-touch","Smile, Neutral",Comfortable,0
F,"Tracking, Away",Neutral,"Back, Self-touch, Fidgeting","Neutral, Smile",Comfortable,0
A,"Tracking, Away",Neutral,"Neutral/Side, Crossed","Neutral, Raised brows",Comfortable,0
B,"Tracking, Away",Neutral,"Neutral/Side, Crossed, Self-touch",Neutral,Comfortable,0
F,"Away, Tracking",Neutral,"Neutral/Side, Self-touch","Neutral, Smile, Frown",Comfortable,0
A,Tracking,Neutral,"Crossed, Back","Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,"Self-touch, Fidgeting",Smile,Comfortable,0
F,Tracking,Neutral,"Self-touch, Fidgeting",Smile,Comfortable,0
A,"Tracking, Away",Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,Neutral,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
F,"Away, Tracking",Neutral,"Neutral/Side, Self-touch","Smile, Neutral",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
B,"Tracking, Away",Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
F,"Tracking, Away",Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,"Tracking, Away",Neutral,Back,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,"Back, Self-touch","Smile, Neutral, Raised brows",Comfortable,0
F,"Tracking, Away",Neutral,"Back, Self-touch, Neutral/Side","Smile, Frown",Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,"Crossed, Self-touch",Smile,Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Self-touch, Crossed","Smile, Frown, Raised brows",Comfortable,0
A,"Tracking, Away",Neutral,"Back, Crossed, Self-touch","Neutral, Smile",Comfortable,0
B,"Tracking, Away",Neutral,Crossed,"Neutral, Raised brows",Comfortable,0
F,Away,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,Crossed,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Crossed,"Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Crossed,Neutral,Comfortable,0
A,Tracking,Neutral,"Fidgeting, Self-touch",Smile,Comfortable,0
B,Tracking,Neutral,"Back, Self-touch","Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Crossed, Self-touch, Fidgeting, Neutral/Side","Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Crossed,Smile,Comfortable,0
B,Tracking,Neutral,Crossed,Smile,Comfortable,0
F,Tracking,Neutral,"Crossed, Self-touch","Smile, Frown, Raised brows",Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Tracking,"Neutral/Side, Self-touch, Back",Smile,Comfortable,0
F,Tracking,Tracking,Back,Smile,Comfortable,0
B,Tracking,Neutral,Back,Neutral,Comfortable,0
A,Tracking,Neutral,Back,Smile,Comfortable,0
F,"Neutral, Away",Neutral,"Back, Self-touch","Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Crossed,"Neutral, Smile",Comfortable,0
,Tracking,Tracking,Neutral/Side,"Neutral, Smile, Frown",Comfortable,0
A,Tracking,Tracking,Back,"Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch",Smile,Comfortable,0
A,Tracking,Neutral,"Self-touch, Crossed","Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,"Self-touch, Back","Neutral, Frown",Comfortable,0
B,Tracking,Neutral,"Back, Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,Tracking,Neutral,"Back, Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Frown",Comfortable,0
B,Tracking,Neutral,"Crossed, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Crossed","Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,"Neutral/Side, Crossed, Self-touch, Fidgeting","Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Crossed,"Smile, Frown, Raised brows",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Frown, Raised brows",Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Crossed, Self-touch","Neutral, Frown",Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Smile, Frown",Comfortable,0
B,Tracking,"Neutral, Tracking",Neutral/Side,"Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Smile, Raised brows",Comfortable,0
A,"Tracking, Neutral",Neutral,"Neutral/Side, Back","Frown, Smile",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Frown, Smile, Raised brows",Comfortable,0
F,"Neutral, Tracking",Neutral,Neutral/Side,"Frown, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
A,Tracking,Tracking,Neutral/Side,Smile,Comfortable,0
F,Tracking,Neutral,Self-touch,"Smile, Frown, Raised brows",Comfortable,0
A,Tracking,Neutral,Crossed,"Smile, Raised brows",Comfortable,0
F,Tracking,Tracking,Neutral/Side,"Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Crossed,"Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,"Self-touch, Fidgeting","Neutral, Smile, Frown","Comfortable, Withdrawal signal",0
B,Tracking,"Tracking, Neutral","Self-touch, Fidgeting","Smile, Neutral",Comfortable,0
F,"Tracking, Neutral","Tracking, Neutral","Self-touch, Crossed",Neutral,Comfortable,0
A,"Neutral, Tracking",Neutral,"Neutral/Side, Back","Neutral, Frown",Comfortable,0
B,"Neutral, Tracking",Neutral,Neutral/Side,"Frown, Neutral",Comfortable,0
F,"Away, Tracking, Neutral",Neutral,Self-touch,Frown,Comfortable,0
F,"Tracking, Away","Neutral, Tracking",Back,"Neutral, Smile",Comfortable,0
A,"Neutral, Tracking","Neutral, Tracking",Back,Smile,Comfortable,0
B,"Neutral, Away, Tracking","Neutral, Tracking","Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,"Tracking, Neutral","Neutral, Tracking","Self-touch, Neutral/Side",Smile,"Comfortable, Withdrawal signal",0
A,Tracking,Tracking,Self-touch,"Neutral, Smile",Comfortable,0
F,"Neutral, Tracking","Tracking, Neutral","Self-touch, Back, Neutral/Side","Neutral, Smile, Raised brows",Comfortable,0
A,"Neutral, Tracking","Neutral, Tracking","Crossed, Self-touch","Smile, Neutral, Raised brows",Comfortable,0
F,"Tracking, Neutral",Tracking,Self-touch,"Smile, Frown",Comfortable,0
B,"Neutral, Tracking","Neutral, Tracking",Crossed,"Neutral, Smile, Frown",Comfortable,0
F,Tracking,Tracking,"Neutral/Side, Self-touch",Neutral,"Comfortable, Withdrawal signal",0
A,Tracking,Tracking,Self-touch,"Smile, Neutral",Comfortable,0
B,Tracking,"Neutral, Tracking",Self-touch,"Neutral, Smile, Frown",Comfortable,0
A,"Tracking, Neutral","Neutral, Tracking",Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,"Neutral, Tracking",Neutral/Side,"Smile, Neutral, Raised brows",Comfortable,0
F,Tracking,"Neutral, Tracking",Neutral/Side,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Neutral/Side,Neutral,Comfortable,0
A,Neutral,Tracking,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Tracking,"Neutral/Side, Self-touch",Neutral,Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Smile, Frown",Comfortable,0
B,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
F,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Tracking,Crossed,"Neutral, Smile",Comfortable,0
A,Tracking,Tracking,Crossed,"Smile, Raised brows",Comfortable,0
F,Tracking,Tracking,Crossed,Smile,Comfortable,0
F,Tracking,Tracking,Back,Smile,Comfortable,0
B,Tracking,Tracking,Back,Smile,Comfortable,0
A,Tracking,Tracking,Back,"Smile, Raised brows",Comfortable,0
B,Tracking,Tracking,Neutral/Side,"Smile, Frown",Comfortable,0
F,Tracking,Tracking,Crossed,Smile,Comfortable,0
A,Tracking,Neutral,"Back, Neutral/Side","Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Crossed,"Smile, Raised brows",Comfortable,0
B,"Tracking, Away",Neutral,Crossed,"Neutral, Raised brows",Comfortable,0
A,Tracking,Neutral,Crossed,Neutral,Comfortable,0
F,Tracking,Neutral,Neutral/Side,"Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Self-touch","Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Smile, Raised brows",Comfortable,0
